ID,縣市別,英文代碼,次行政區
1,臺北市,a,中正區
2,臺北市,a,大同區
3,臺北市,a,中山區
4,臺北市,a,松山區
5,臺北市,a,大安區
6,臺北市,a,萬華區
7,臺北市,a,信義區
8,臺北市,a,士林區
9,臺北市,a,北投區
10,臺北市,a,內湖區
11,臺北市,a,南港區
12,臺北市,a,文山區
13,臺中市,b,中區
14,臺中市,b,東區
15,臺中市,b,南區
16,臺中市,b,西區
17,臺中市,b,北區
18,臺中市,b,北屯區
19,臺中市,b,西屯區
20,臺中市,b,南屯區
21,臺中市,b,太平區
22,臺中市,b,大里區
23,臺中市,b,霧峰區
24,臺中市,b,烏日區
25,臺中市,b,豐原區
26,臺中市,b,后里區
27,臺中市,b,石岡區
28,臺中市,b,東勢區
29,臺中市,b,和平區
30,臺中市,b,新社區
31,臺中市,b,潭子區
32,臺中市,b,大雅區
33,臺中市,b,神岡區
34,臺中市,b,大肚區
35,臺中市,b,沙鹿區
36,臺中市,b,龍井區
37,臺中市,b,梧棲區
38,臺中市,b,清水區
39,臺中市,b,大甲區
40,臺中市,b,外埔區
41,臺中市,b,大安區
42,基隆市,c,中正區
43,基隆市,c,七堵區
44,基隆市,c,暖暖區
45,基隆市,c,仁愛區
46,基隆市,c,中山區
47,基隆市,c,安樂區
48,基隆市,c,信義區
49,臺南市,d,中西區
50,臺南市,d,東區
51,臺南市,d,南區
52,臺南市,d,北區
53,臺南市,d,安平區
54,臺南市,d,安南區
55,臺南市,d,永康區
56,臺南市,d,歸仁區
57,臺南市,d,新化區
58,臺南市,d,左鎮區
59,臺南市,d,玉井區
60,臺南市,d,楠西區
61,臺南市,d,南化區
62,臺南市,d,仁德區
63,臺南市,d,關廟區
64,臺南市,d,龍崎區
65,臺南市,d,官田區
66,臺南市,d,麻豆區
67,臺南市,d,佳里區
68,臺南市,d,西港區
69,臺南市,d,七股區
70,臺南市,d,將軍區
71,臺南市,d,學甲區
72,臺南市,d,北門區
73,臺南市,d,新營區
74,臺南市,d,後壁區
75,臺南市,d,白河區
76,臺南市,d,東山區
77,臺南市,d,六甲區
78,臺南市,d,下營區
79,臺南市,d,柳營區
80,臺南市,d,鹽水區
81,臺南市,d,善化區
82,臺南市,d,大內區
83,臺南市,d,山上區
84,臺南市,d,新市區
85,臺南市,d,安定區
86,高雄市,e,鹽埕區
87,高雄市,e,鼓山區
88,高雄市,e,左營區
89,高雄市,e,楠梓區
90,高雄市,e,三民區
91,高雄市,e,新興區
92,高雄市,e,前金區
93,高雄市,e,苓雅區
94,高雄市,e,前鎮區
95,高雄市,e,旗津區
96,高雄市,e,小港區
97,高雄市,e,鳳山區
98,高雄市,e,林園區
99,高雄市,e,大寮區
100,高雄市,e,大樹區
101,高雄市,e,大社區
102,高雄市,e,仁武區
103,高雄市,e,鳥松區
104,高雄市,e,岡山區
105,高雄市,e,橋頭區
106,高雄市,e,燕巢區
107,高雄市,e,田寮區
108,高雄市,e,阿蓮區
109,高雄市,e,路竹區
110,高雄市,e,湖內區
111,高雄市,e,茄萣區
112,高雄市,e,永安區
113,高雄市,e,彌陀區
114,高雄市,e,梓官區
